id_classe,materia,id_docente,nome_docente
CL0001,Italiano,DOC0095,Ennio Leonetti
CL0001,Matematica,DOC0036,Gaspare Vecellio
CL0001,Inglese,DOC0032,Annamaria Trevisani
CL0002,Italiano,DOC0018,Sig. Domenico Iannotti
CL0002,Matematica,DOC0095,Ennio Leonetti
CL0002,Inglese,DOC0014,Elena Gargallo-Borroni
CL0003,Italiano,DOC0095,Ennio Leonetti
CL0003,Matematica,DOC0070,Piergiorgio Scaramucci
CL0003,Inglese,DOC0012,Barbara Granatelli
CL0004,Italiano,DOC0029,Tonia Nosiglia
CL0004,Matematica,DOC0035,Melina Monicelli
CL0004,Inglese,DOC0056,Ermenegildo Boccaccio
CL0005,Italiano,DOC0004,Etta Cassarà
CL0005,Matematica,DOC0050,Gianna Cimarosa
CL0005,Inglese,DOC0044,Bianca Pagliaro
CL0006,Italiano,DOC0087,Romina Bersani-Rocca
CL0006,Matematica,DOC0052,Sole Bragaglia
CL0006,Inglese,DOC0093,Gianluigi Impastato
CL0007,Italiano,DOC0060,Elena Toselli-Ponti
CL0007,Matematica,DOC0017,Clelia Morandi
CL0007,Inglese,DOC0080,Giacomo Zito
CL0008,Italiano,DOC0076,Sergius Micca
CL0008,Matematica,DOC0072,Monica Ortolani
CL0008,Inglese,DOC0072,Monica Ortolani
CL0009,Italiano,DOC0086,Gioele Lippomano-Brancaccio
CL0009,Matematica,DOC0016,Fortunata Mengolo-Tresoldi
CL0009,Inglese,DOC0053,Victoria Balbi
CL0010,Italiano,DOC0086,Gioele Lippomano-Brancaccio
CL0010,Matematica,DOC0097,Angelina Bataglia
CL0010,Inglese,DOC0055,Imelda Scamarcio
CL0011,Italiano,DOC0007,Elena Alighieri
CL0011,Matematica,DOC0037,Ansaldo Calvo
CL0011,Inglese,DOC0077,Hugo Barracco
CL0012,Italiano,DOC0046,Natalia Sgarbi
CL0012,Matematica,DOC0014,Elena Gargallo-Borroni
CL0012,Inglese,DOC0074,Sig.ra Imelda Morricone
CL0013,Italiano,DOC0028,Melina Prati
