id_classe,id_docente,nome_docente
CL0001,DOC0095,Ennio Leonetti
CL0001,DOC0036,Gaspare Vecellio
CL0001,DOC0032,Annamaria Trevisani
CL0002,DOC0018,Sig. Domenico Iannotti
CL0002,DOC0095,Ennio Leonetti
CL0002,DOC0014,Elena Gargallo-Borroni
CL0003,DOC0095,Ennio Leonetti
CL0003,DOC0070,Piergiorgio Scaramucci
CL0003,DOC0012,Barbara Granatelli
CL0004,DOC0029,Tonia Nosiglia
CL0004,DOC0035,Melina Monicelli
CL0004,DOC0056,Ermenegildo Boccaccio
CL0005,DOC0004,Etta Cassarà
CL0005,DOC0050,Gianna Cimarosa
CL0005,DOC0044,Bianca Pagliaro
CL0006,DOC0087,Romina Bersani-Rocca
CL0006,DOC0052,Sole Bragaglia
CL0006,DOC0093,Gianluigi Impastato
CL0007,DOC0060,Elena Toselli-Ponti
CL0007,DOC0017,Clelia Morandi
CL0007,DOC0080,Giacomo Zito
CL0008,DOC0076,Sergius Micca
CL0008,DOC0072,Monica Ortolani
CL0008,DOC0072,Monica Ortolani
CL0009,DOC0086,Gioele Lippomano-Brancaccio
CL0009,DOC0016,Fortunata Mengolo-Tresoldi
CL0009,DOC0053,Victoria Balbi
CL0010,DOC0086,Gioele Lippomano-Brancaccio
CL0010,DOC0097,Angelina Bataglia
CL0010,DOC0055,Imelda Scamarcio
CL0011,DOC0007,Elena Alighieri
CL0011,DOC0037,Ansaldo Calvo
CL0011,DOC0077,Hugo Barracco
CL0012,DOC0046,Natalia Sgarbi
CL0012,DOC0014,Elena Gargallo-Borroni
CL0012,DOC0074,Sig.ra Imelda Morricone
CL0013,DOC0028,Melina Prati
CL0013,DOC0020,Sig.ra Paulina Argentero
CL0013,DOC0085,Federico Capuana
CL0014,DOC0029,Tonia Nosiglia
CL0014,DOC0014,Elena Gargallo-Borroni
CL0014,DOC0045,Claudia Filangieri
CL0015,DOC0086,Gioele Lippomano-Brancaccio
CL0015,DOC0079,Lando Federici
CL0015,DOC0062,Serena Gradenigo-Pareto
CL0016,DOC0063,Piergiorgio Curatoli-Battelli
CL0016,DOC0003,Isabella Mezzetta
CL0016,DOC0001,Ranieri Martucci-Pistoletto
CL0017,DOC0071,Ramona Piazzi
CL0017,DOC0053,Victoria Balbi
CL0017,DOC0002,Diana Canali
CL0018,DOC0068,Ramona Giacconi
CL0018,DOC0093,Gianluigi Impastato
CL0018,DOC0036,Gaspare Vecellio
CL0019,DOC0037,Ansaldo Calvo
CL0019,DOC0003,Isabella Mezzetta
CL0019,DOC0065,Santino Migliaccio
CL0020,DOC0087,Romina Bersani-Rocca
CL0020,DOC0056,Ermenegildo Boccaccio
CL0020,DOC0023,Luciano Alboni-Rismondo
CL0021,DOC0013,Elisa Lanfranchi
CL0021,DOC0068,Ramona Giacconi
CL0021,DOC0020,Sig.ra Paulina Argentero
CL0022,DOC0029,Tonia Nosiglia
CL0022,DOC0035,Melina Monicelli
CL0022,DOC0073,Santino Campise
CL0023,DOC0020,Sig.ra Paulina Argentero
CL0023,DOC0097,Angelina Bataglia
CL0023,DOC0090,Dott. Giulia Ferretti
CL0024,DOC0013,Elisa Lanfranchi
CL0024,DOC0011,Bruno Cabrini
CL0024,DOC0086,Gioele Lippomano-Brancaccio
CL0025,DOC0070,Piergiorgio Scaramucci
CL0025,DOC0053,Victoria Balbi
CL0025,DOC0097,Angelina Bataglia
CL0026,DOC0030,Simonetta Troisi
CL0026,DOC0071,Ramona Piazzi
CL0026,DOC0008,Dott. Gemma Borromini
CL0027,DOC0067,Caterina Boccaccio
CL0027,DOC0054,Cipriano Segni
CL0027,DOC0069,Dino Caccianemico
CL0028,DOC0077,Hugo Barracco
CL0028,DOC0076,Sergius Micca
CL0028,DOC0009,Dott. Giada Mazzocchi
CL0029,DOC0049,Luisa Solimena-Olivetti
CL0029,DOC0050,Gianna Cimarosa
CL0029,DOC0017,Clelia Morandi
CL0030,DOC0003,Isabella Mezzetta
CL0030,DOC0026,Rolando Bulzoni-Mazzanti
CL0030,DOC0067,Caterina Boccaccio
CL0031,DOC0088,Carla Gasperi
CL0031,DOC0054,Cipriano Segni
CL0031,DOC0020,Sig.ra Paulina Argentero
CL0032,DOC0013,Elisa Lanfranchi
CL0032,DOC0023,Luciano Alboni-Rismondo
CL0032,DOC0061,Germana Giusti
CL0033,DOC0007,Elena Alighieri
CL0033,DOC0071,Ramona Piazzi
CL0033,DOC0052,Sole Bragaglia
CL0034,DOC0011,Bruno Cabrini
CL0034,DOC0052,Sole Bragaglia
CL0034,DOC0065,Santino Migliaccio
CL0035,DOC0100,Loredana Bocelli
CL0035,DOC0090,Dott. Giulia Ferretti
CL0035,DOC0017,Clelia Morandi
CL0036,DOC0062,Serena Gradenigo-Pareto
CL0036,DOC0072,Monica Ortolani
CL0036,DOC0026,Rolando Bulzoni-Mazzanti
CL0037,DOC0051,Amadeo Acerbi
CL0037,DOC0084,Eraldo Leone
CL0037,DOC0074,Sig.ra Imelda Morricone
CL0038,DOC0072,Monica Ortolani
CL0038,DOC0079,Lando Federici
CL0038,DOC0095,Ennio Leonetti
CL0039,DOC0032,Annamaria Trevisani
CL0039,DOC0032,Annamaria Trevisani
CL0039,DOC0010,Fortunata Ortese
CL0040,DOC0089,Marcella Broschi
CL0040,DOC0073,Santino Campise
CL0040,DOC0008,Dott. Gemma Borromini
CL0041,DOC0018,Sig. Domenico Iannotti
CL0041,DOC0015,Amanda Cicala
CL0041,DOC0060,Elena Toselli-Ponti
CL0042,DOC0054,Cipriano Segni
CL0042,DOC0022,Clelia Notarbartolo
CL0042,DOC0098,Bianca Satta
CL0043,DOC0029,Tonia Nosiglia
CL0043,DOC0038,Annamaria Brichese-Marinetti
CL0043,DOC0078,Griselda Mazzocchi
CL0044,DOC0003,Isabella Mezzetta
CL0044,DOC0098,Bianca Satta
CL0044,DOC0005,Valerio Gaito
CL0045,DOC0016,Fortunata Mengolo-Tresoldi
CL0045,DOC0050,Gianna Cimarosa
CL0045,DOC0058,Bianca Pace
CL0046,DOC0049,Luisa Solimena-Olivetti
CL0046,DOC0057,Elladio Cattaneo
CL0046,DOC0059,Atenulf Pozzecco
CL0047,DOC0005,Valerio Gaito
CL0047,DOC0023,Luciano Alboni-Rismondo
CL0047,DOC0072,Monica Ortolani
CL0048,DOC0100,Loredana Bocelli
CL0048,DOC0039,Cecilia Correr
CL0048,DOC0091,Costantino Valier
CL0049,DOC0063,Piergiorgio Curatoli-Battelli
CL0049,DOC0056,Ermenegildo Boccaccio
CL0049,DOC0018,Sig. Domenico Iannotti
CL0050,DOC0092,Marco Tornatore
