id_studente,id_classe,nome,cognome,genere,cittadinanza
STU00001,CL0001,Pomponio,Aloisio,M,ITA
STU00002,CL0001,Rita,Vigorelli,F,ITA
STU00003,CL0001,Etta,Galeati,F,ITA
STU00004,CL0001,Bianca,Capecchi,F,ITA
STU00005,CL0001,Veronica,Gabrieli,F,ITA
STU00006,CL0001,Roberta,Olivetti,F,ITA
STU00007,CL0001,Anita,Mantegna,F,ITA
STU00008,CL0001,Camilla,Ginese,F,ITA
STU00009,CL0001,Sonia,Faugno,F,ITA
STU00010,CL0001,Romana,Vivaldi,F,ITA
STU00011,CL0002,Liliana,Sforza,F,ITA
STU00012,CL0002,Allegra,Leone,F,NON_ITA
STU00013,CL0002,Amanda,Modiano,F,ITA
STU00014,CL0002,Livia,Giorgetti,F,NON_ITA
STU00015,CL0002,Lando,Versace,M,ITA
STU00016,CL0002,Loredana,Trapanese,F,ITA
STU00017,CL0002,Melania,Scotti,F,NON_ITA
STU00018,CL0002,Costanzo,Ciani,M,ITA
STU00019,CL0002,Ilaria,Ceci,F,ITA
STU00020,CL0002,Simone,Emanuelli,M,ITA
STU00021,CL0003,Marcantonio,Sagese,M,ITA
STU00022,CL0003,Paoletta,Dandolo,F,ITA
STU00023,CL0003,Paoletta,Mazzini,F,ITA
STU00024,CL0003,Valeria,Falcone,F,ITA
STU00025,CL0003,Rosalia,Boitani,F,ITA
STU00026,CL0003,Eliana,Ioppi,F,ITA
STU00027,CL0003,Lina,Poerio,F,ITA
STU00028,CL0003,Paoletta,Antonello,F,ITA
STU00029,CL0004,Pierina,Ariosto,F,ITA
STU00030,CL0004,Isa,Angeli,F,ITA
STU00031,CL0004,Giuseppe,Cafarchia,M,NON_ITA
STU00032,CL0004,Loretta,Segrè,F,ITA
STU00033,CL0004,Agnolo,Ciani,M,ITA
STU00034,CL0004,Claudia,Carli,F,ITA
STU00035,CL0004,Margherita,Berrè,F,ITA
STU00036,CL0005,Gianpietro,Babbo,M,ITA
STU00037,CL0005,Giuliana,Maffei,F,ITA
STU00038,CL0005,Melissa,Veneziano,F,ITA
STU00039,CL0005,Renata,Navone,F,ITA
STU00040,CL0005,Ernesto,Perini,M,ITA
STU00041,CL0005,Valeria,Giammusso,F,ITA
STU00042,CL0005,Livia,Druso,F,NON_ITA
STU00043,CL0005,Rosa,Lupo,F,ITA
STU00044,CL0006,Enrico,Zamengo,M,ITA
STU00045,CL0006,Vanessa,Boccaccio,F,ITA
STU00046,CL0006,Severino,Sagnelli,M,ITA
STU00047,CL0006,Adriana,Saracino,F,NON_ITA
STU00048,CL0006,Alina,Bruscantini,F,ITA
STU00049,CL0006,Isa,Fioravanti,F,ITA
STU00050,CL0006,Dario,Contarini,M,ITA
STU00051,CL0006,Giulia,Contarini,F,ITA
STU00052,CL0006,Maria,Anguillara,F,NON_ITA
STU00053,CL0006,Melissa,Borromeo,F,ITA
STU00054,CL0007,Tullio,Volta,M,ITA
STU00055,CL0007,Iolanda,Tozzi,F,ITA
STU00056,CL0007,Paride,Vitturi,M,NON_ITA
STU00057,CL0007,Raffaella,Valmarana,F,ITA
STU00058,CL0007,Marissa,Sanudo,F,ITA
STU00059,CL0007,Luciana,Cattaneo,F,ITA
STU00060,CL0007,Fiamma,Conti,F,ITA
STU00061,CL0007,Arsenio,Frescobaldi,M,ITA
STU00062,CL0007,Gloria,Torricelli,F,ITA
STU00063,CL0007,Licia,Castiglione,F,ITA
STU00064,CL0008,Lazzaro,Belletini,M,ITA
STU00065,CL0008,Niccolò,Alboni,M,ITA
STU00066,CL0008,Azeglio,Pacetti,M,ITA
STU00067,CL0008,Matilda,Bianchi,F,ITA
STU00068,CL0008,Melissa,Marini,F,ITA
STU00069,CL0008,Luca,Branciforte,M,NON_ITA
STU00070,CL0008,Mariana,Cibin,F,NON_ITA
STU00071,CL0008,Stefano,Boezio,M,ITA
STU00072,CL0008,Jolanda,Tamburello,F,ITA
STU00073,CL0009,Nadia,Trevisani,F,ITA
STU00074,CL0009,Alderano,Caccioppoli,M,ITA
STU00075,CL0009,Michela,Disdero,F,ITA
STU00076,CL0009,Paoletta,Bertoli,F,ITA
STU00077,CL0009,Gloria,Giammusso,F,ITA
STU00078,CL0009,Patrizio,Petrucci,M,ITA
STU00079,CL0009,Gianfrancesco,Mondadori,M,ITA
STU00080,CL0010,Michela,Santi,F,ITA
STU00081,CL0010,Guido,Agazzi,M,ITA
