id_studente,id_classe,nome,cognome,sesso,cittadinanza
STU0001,AQSD01201N_0001,Ernesto,Castiglione,M,ITA
STU0002,AQSD01201N_0001,Giovanni,Grisoni,M,ITA
STU0003,AQSD01201N_0001,Irma,Magrassi,F,ITA
STU0004,AQSD01201N_0001,Ilaria,Giolitti,F,ITA
STU0005,AQSD01201N_0001,Amanda,Gualtieri,F,ITA
STU0006,AQSD01201N_0001,Isa,Casini,F,ITA
STU0007,AQSD01201N_0001,Veronica,Pedrazzini,F,NON_ITA
STU0008,AQSD01201N_0001,Concetta,Garzoni,F,ITA
STU0009,AQSD01201N_0001,Eleanora,Migliaccio,F,ITA
STU0010,AQSD01201N_0001,Loretta,Pedrazzini,F,ITA
STU0011,AQSD01201N_0002,Elladio,Stradivari,M,ITA
STU0012,AQSD01201N_0002,Concetta,Morrocco,F,NON_ITA
STU0013,AQSD01201N_0002,Imelda,Franzese,F,ITA
STU0014,AQSD01201N_0002,Lauretta,Cavalcanti,F,ITA
STU0015,AQSD01201N_0002,Fabia,Zarlino,F,ITA
STU0016,AQSD01201N_0002,Adele,Piovani,F,ITA
STU0017,AQSD01201N_0002,Licia,Respighi,F,ITA
STU0018,AQSD01201N_0002,Valeria,Barzini,F,ITA
STU0019,AQSD01201N_0002,Agostino,Bianchi,M,NON_ITA
STU0020,AQSD01201N_0002,Lisa,Fo,F,ITA
STU0021,AQSD01201N_0002,Daniele,Gianetti,M,ITA
STU0022,AQSD01201N_0002,Maria,Bianchi,F,ITA
STU0023,AQSD01201N_0002,Angelica,Mazzi,F,ITA
STU0024,AQSD01201N_0002,Ninetta,Piccinni,F,ITA
STU0025,AQSD01201N_0002,Nedda,Modiano,F,ITA
STU0026,AQSD01201N_0002,Piergiorgio,Pareto,M,ITA
STU0027,AQSD01201N_0002,Liana,Argurio,F,ITA
STU0028,AQSD01201N_0003,Giulietta,Pennetta,F,ITA
STU0029,AQSD01201N_0003,Bianca,Pennetta,F,NON_ITA
STU0030,AQSD01201N_0003,Nanni,Travaglia,M,ITA
STU0031,AQSD01201N_0003,Melina,Duse,F,ITA
STU0032,AQSD01201N_0003,Flavia,Scaramucci,F,ITA
STU0033,AQSD01201N_0003,Adelasia,Quasimodo,F,ITA
STU0034,AQSD01201N_0003,Mercedes,Argan,F,ITA
STU0035,AQSD01201N_0003,Gilberto,Fracci,M,ITA
STU0036,AQSD01201N_0003,Vincenza,Chiesa,F,NON_ITA
STU0037,AQSD01201N_0003,Paola,Carriera,F,ITA
STU0038,AQSD01201N_0003,Giorgia,Duodo,F,ITA
STU0039,AQSD01201N_0003,Annetta,Iannotti,F,ITA
STU0040,AQSD01201N_0003,Daria,Bompiani,F,ITA
STU0041,AQSD01201N_0003,Livia,Trapanese,F,ITA
STU0042,AQSD01201N_0003,Berenice,Lupo,F,ITA
STU0043,AQSD01201N_0003,Niccolò,Trentini,M,ITA
STU0044,AQSD01201N_0004,Fortunata,Caffarelli,F,ITA
STU0045,AQSD01201N_0004,Sophia,Spinola,F,ITA
STU0046,AQSD01201N_0004,Raffaella,Collodi,F,ITA
STU0047,AQSD01201N_0004,Elvira,Catalano,F,NON_ITA
STU0048,AQSD01201N_0004,Adriano,Sordi,M,ITA
STU0049,AQSD01201N_0004,Giulia,Paltrinieri,F,ITA
STU0050,AQSD01201N_0005,Antonella,Ariasso,F,ITA
STU0051,AQSD01201N_0005,Elmo,Aulenti,M,ITA
STU0052,AQSD01201N_0005,Giada,Tonisto,F,ITA
STU0053,AQSD01201N_0005,Aurora,Salvo,F,ITA
STU0054,AQSD01201N_0005,Roberta,Basso,F,ITA
STU0055,AQSD01201N_0005,Pasquale,Ginese,M,ITA
STU0056,AQSD01201N_0005,Rosa,Moccia,F,ITA
STU0057,AQSD01201N_0005,Pierina,Argan,F,ITA
STU0058,AQSD01201N_0005,Lilla,Roccabonella,F,ITA
STU0059,AQSD01201N_0005,Clelia,Giammusso,F,ITA
STU0060,AQSD01201N_0005,Cassandra,Caironi,F,ITA
STU0061,AQSD01201N_0005,Fabrizio,Costanzi,M,NON_ITA
STU0062,AQSD01201N_0005,Romana,Treccani,F,ITA
STU0063,AQSD01201N_0005,Aria,Pace,F,ITA
STU0064,AQSD01201N_0005,Griselda,Franzese,F,NON_ITA
STU0065,AQSD01201N_0006,Pina,Goldstein,F,ITA
STU0066,AQSD01201N_0006,Annalisa,Marinetti,F,ITA
STU0067,AQSD01201N_0006,Susanna,Forza,F,ITA
STU0068,AQSD01201N_0006,Zaira,Verga,F,ITA
STU0069,AQSD01201N_0006,Erika,Niscoromni,F,ITA
STU0070,AQSD01201N_0006,Annamaria,Baroffio,F,NON_ITA
STU0071,AQSD01201N_0006,Gionata,Modugno,M,ITA
STU0072,AQSD01201N_0006,Beatrice,Correr,F,ITA
STU0073,AQSD01201N_0006,Ubaldo,Bombieri,M,ITA
STU0074,AQSD01201N_0006,Rosalia,Battaglia,F,ITA
STU0075,AQSD01201N_0006,Nina,Mondadori,F,NON_ITA
STU0076,AQSD01201N_0006,Domenico,Cuomo,M,ITA
STU0077,AQSD01201N_0006,Melania,Mezzetta,F,ITA
STU0078,AQSD01201N_0006,Elvira,Grossi,F,ITA
STU0079,AQSD01201N_0006,Giulia,Carullo,F,ITA
STU0080,AQSD01201N_0007,Cassandra,Toscanini,F,ITA
STU0081,AQSD01201N_0007,Adamo,Montanariello,M,ITA
STU0082,AQSD01201N_0007,Federica,Bonaventura,F,NON_ITA
STU0083,AQSD01201N_0007,Annetta,Odescalchi,F,ITA
STU0084,AQSD01201N_0007,Lidia,Durante,F,ITA
STU0085,AQSD01201N_0007,Erika,Michelangeli,F,ITA
STU0086,AQSD01201N_0007,Morena,Ferrata,F,NON_ITA
STU0087,AQSD01201N_0007,Angelina,Bettin,F,ITA
STU0088,AQSD01201N_0007,Liliana,Pascarella,F,ITA
STU0089,AQSD01201N_0007,Giorgia,Gremese,F,ITA
STU0090,AQSD01201N_0007,Gabriella,Foa,F,ITA
STU0091,AQSD01201N_0007,Filippo,Ritacca,M,ITA
STU0092,AQSD01201N_0007,Lidia,Prodi,F,ITA
STU0093,AQSD01201N_0007,Rocco,Ceri,M,ITA
STU0094,AQSD01201N_0007,Annunziata,Calgari,F,ITA
STU0095,AQSD01201N_0008,Cassandra,Pertini,F,ITA
STU0096,AQSD01201N_0008,Gabriella,Guarato,F,ITA
STU0097,AQSD01201N_0008,Simonetta,Metella,F,ITA
STU0098,AQSD01201N_0008,Alfredo,Conti,M,ITA
STU0099,AQSD01201N_0008,Virginia,Tomaselli,F,ITA
STU0100,AQSD01201N_0008,Ramona,Trapanese,F,NON_ITA
STU0101,AQSD01201N_0008,Ernesto,Vismara,M,NON_ITA
STU0102,AQSD01201N_0008,Ilaria,Foà,F,ITA
STU0103,AQSD01201N_0008,Edoardo,Balbi,M,ITA
STU0104,AQSD01201N_0008,Tina,Proietti,F,ITA
STU0105,AQSD01201N_0008,Valentina,Fermi,F,ITA
STU0106,AQSD01201N_0008,Laura,Righi,F,ITA
STU0107,AQSD01201N_0008,Luisa,Goldstein,F,ITA
STU0108,AQSD01201N_0009,Rosaria,Argurio,F,ITA
STU0109,AQSD01201N_0009,Filippa,Bova,F,ITA
STU0110,AQSD01201N_0009,Ermenegildo,Scotto,M,ITA
STU0111,AQSD01201N_0009,Rosalia,Montalti,F,ITA
STU0112,AQSD01201N_0009,Salvatore,Ferrari,M,ITA
STU0113,AQSD01201N_0009,Greca,Curiel,F,ITA
STU0114,AQSD01201N_0009,Fabio,Bruscantini,M,NON_ITA
